Pot,Pot,Inoculation,Polyculture,Water,Replicate,Arbuscules,Vesicles,A_V,Hyphae_only,None,hyphal_colonization,arb_vesc_colonization,Date_assessed
1_Inoc_inter_c_1,1,Inoc,Inter,Control,1,1,9,0,57,33,0.67,0.1,2/22/26
2_Inoc_inter_c_2,2,Inoc,Inter,Control,2,12,35,10,21,22,0.78,0.57,2/22/26
3_Inoc_inter_c_3,3,Inoc,Inter,Control,3,11,18,0,17,54,0.46,0.29,2/22/26
4_Inoc_inter_c_4,4,Inoc,Inter,Control,4,12,22,2,63,1,0.99,0.36,1/16/26
5_Inoc_inter_c_5,5,Inoc,Inter,Control,5,18,26,6,48,2,0.98,0.5,1/24/26
6_Inoc_inter_m_1,6,Inoc,Inter,Moderate,1,28,11,3,55,3,0.97,0.42,1/24/26
7_Inoc_inter_m_2,7,Inoc,Inter,Moderate,2,24,31,8,37,0,1,0.63,1/24/26
8_Inoc_inter_m_3,8,Inoc,Inter,Moderate,3,20,34,9,37,0,1,0.63,1/24/26
9_Inoc_inter_m_4,9,Inoc,Inter,Moderate,4,2,41,1,47,9,0.91,0.44,1/24/26
10_Inoc_inter_m_5,10,Inoc,Inter,Moderate,5,15,22,6,51,6,0.94,0.43,1/24/26
11_Inoc_inter_s_1,11,Inoc,Inter,Severe,1,17,1,0,71,11,0.89,0.18,1/24/26
12_Inoc_inter_s_2,12,Inoc,Inter,Severe,2,17,15,1,56,11,0.89,0.33,1/24/26
13_Inoc_inter_s_3,13,Inoc,Inter,Severe,3,10,24,0,64,2,0.98,0.34,1/24/26
14_Inoc_inter_s_4,14,Inoc,Inter,Severe,4,3,42,1,53,1,0.99,0.46,1/24/26
15_Inoc_inter_s_5,15,Inoc,Inter,Severe,5,3,45,1,49,2,0.98,0.49,1/24/26
16_Inoc_mono_c_1,16,Inoc,Mono,Control,1,3,28,0,57,12,0.88,0.31,1/24/26
17_Inoc_mono_c_2,17,Inoc,Mono,Control,2,7,41,4,47,1,0.99,0.52,1/24/26
18_Inoc_mono_c_3,18,Inoc,Mono,Control,3,3,48,1,48,0,1,0.52,1/24/26
19_Inoc_mono_c_4,19,Inoc,Mono,Control,4,10,24,1,65,0,1,0.35,1/24/26
20_Inoc_mono_c_5,20,Inoc,Mono,Control,5,2,32,2,64,0,1,0.36,1/24/26
21_Inoc_mono_m_1,21,Inoc,Mono,Moderate,1,25,10,9,56,0,1,0.44,1/24/26
22_Inoc_mono_m_2,22,Inoc,Mono,Moderate,2,6,63,7,24,0,1,0.76,2/2/26
23_Inoc_mono_m_3,23,Inoc,Mono,Moderate,3,7,44,10,38,1,0.99,0.61,2/2/26
24_Inoc_mono_m_4,24,Inoc,Mono,Moderate,4,11,35,11,43,0,1,0.57,2/2/26
25_Inoc_mono_m_5,25,Inoc,Mono,Moderate,5,3,53,4,40,0,1,0.6,2/2/26
26_Inoc_mono_s_1,26,Inoc,Mono,Severe,1,0,63,6,30,1,0.99,0.69,2/2/26
27_Inoc_mono_s_2,27,Inoc,Mono,Severe,2,0,51,2,46,1,0.99,0.53,2/2/26
28_Inoc_mono_s_3,28,Inoc,Mono,Severe,3,31,1,0,34,34,0.66,0.32,2/2/26
29_Inoc_mono_s_4,29,Inoc,Mono,Severe,4,17,16,5,37,25,0.75,0.38,2/2/26
30_Inoc_mono_s_5,30,Inoc,Mono,Severe,5,56,0,0,33,11,0.89,0.56,2/21/26
31_Strl_inter_c_1,31,Strl,Inter,Control,1,3,1,0,3,93,0.07,0.04,2/21/26
32_Strl_inter_c_2,32,Strl,Inter,Control,2,15,0,0,5,80,0.2,0.15,2/21/26
33_Strl_inter_c_3,33,Strl,Inter,Control,3,7,0,0,25,68,0.32,0.07,2/21/26
34_Strl_inter_c_4,34,Strl,Inter,Control,4,2,1,0,0,97,0.03,0.03,2/21/26
35_Strl_inter_c_5,35,Strl,Inter,Control,5,0,21,0,13,66,0.34,0.21,2/21/26
36_Strl_inter_m_1,36,Strl,Inter,Moderate,1,21,1,0,25,53,0.47,0.22,2/21/26
37_Strl_inter_m_2,37,Strl,Inter,Moderate,2.00,2,0,0,0,98,0.02,0.02,2/21/26
38_Strl_inter_m_3,38,Strl,Inter,Moderate,3.00,0,0,0,6,94,0.06,0,2/21/26
39_Strl_inter_m_4,39,Strl,Inter,Moderate,4.00,0,0,0,1,99,0.01,0,2/21/26
40_Strl_inter_m_5,40,Strl,Inter,Moderate,5.00,1,17,0,4,78,0.22,0.18,2/21/26
41_Strl_inter_s_1,41,Strl,Inter,Severe,1.00,0,0,0,0,100,0,0,2/21/26
42_Strl_inter_s_2,42,Strl,Inter,Severe,2.00,0,0,0,0,100,0,0,2/21/26
43_Strl_inter_s_3,43,Strl,Inter,Severe,3.00,2,0,0,27,71,0.29,0.02,2/21/26
44_Strl_inter_s_4,44,Strl,Inter,Severe,4.00,8,0,0,3,89,0.11,0.08,2/21/26
45_Strl_inter_s_5,45,Strl,Inter,Severe,5.00,3,0,0,0,97,0.03,0.03,2/21/26
46_Strl_mono_c_1,46,Strl,Mono,Control,1.00,0,0,0,6,94,0.06,0,2/21/26
47_Strl_mono_c_2,47,Strl,Mono,Control,2.00,0,0,0,3,97,0.03,0,2/21/26
48_Strl_mono_c_3,48,Strl,Mono,Control,3.00,0,10,0,0,90,0.1,0.1,2/22/26
49_Strl_mono_c_4,49,Strl,Mono,Control,4.00,0,0,0,0,100,0,0,2/22/26
50_Strl_mono_c_5,50,Strl,Mono,Control,5.00,0,1,0,0,99,0.01,0.01,2/22/26
51_Strl_mono_m_1,51,Strl,Mono,Moderate,1.00,5,2,0,13,80,0.2,0.07,2/22/26
52_Strl_mono_m_2,52,Strl,Mono,Moderate,2.00,15,3,0,4,78,0.22,0.18,2/22/26
53_Strl_mono_m_3,53,Strl,Mono,Moderate,3.00,0,0,0,1,99,0.01,0,2/22/26
54_Strl_mono_m_4,54,Strl,Mono,Moderate,4.00,22,0,0,2,76,0.24,0.22,2/22/26
55_Strl_mono_m_5,55,Strl,Mono,Moderate,5.00,9,21,0,28,42,0.58,0.3,2/22/26
56_Strl_mono_s_1,56,Strl,Mono,Severe,1.00,0,0,0,1,99,0.01,0,2/22/26
57_Strl_mono_s_2,57,Strl,Mono,Severe,2.00,24,4,0,8,64,0.36,0.28,2/22/26
58_Strl_mono_s_3,58,Strl,Mono,Severe,3.00,0,7,0,0,93,0.07,0.07,2/22/26
59_Strl_mono_s_4,59,Strl,Mono,Severe,4.00,1,0,0,10,89,0.11,0.01,2/22/26
60_Strl_mono_s_5,60,Strl,Mono,Severe,5.00,6,0,0,8,86,0.14,0.06,2/22/26