Name,Pot,Inoculation,Polyculture,Water,Replicate,Biomass_g,Biomass_g_pp,Num_wheat_pot,Date_weighed
1_Inoc_inter_c_1_ANPP,1,Inoc,Inter,Control,1,12.73,2.12,6.00000,1/9/2026
2_Inoc_inter_c_2_ANPP,2,Inoc,Inter,Control,2,21.90,3.65,6.00000,1/27/2026
3_Inoc_inter_c_3_ANPP,3,Inoc,Inter,Control,3,13.40,2.23,6.00000,1/9/2026
4_Inoc_inter_c_4_ANPP,4,Inoc,Inter,Control,4,20.99,3.50,6.00000,1/9/2026
5_Inoc_inter_c_5_ANPP,5,Inoc,Inter,Control,5,8.38,1.40,6.00000,1/9/2026
6_Inoc_inter_m_1_ANPP,6,Inoc,Inter,Moderate,1,12.43,2.07,6.00000,1/9/2026
7_Inoc_inter_m_2_ANPP,7,Inoc,Inter,Moderate,2,9.88,1.65,6.00000,1/9/2026
8_Inoc_inter_m_3_ANPP,8,Inoc,Inter,Moderate,3,30.47,5.08,6.00000,1/9/2026
9_Inoc_inter_m_4_ANPP,9,Inoc,Inter,Moderate,4,14.40,2.40,6.00000,1/9/2026
10_Inoc_inter_m_5_ANPP,10,Inoc,Inter,Moderate,5,12.56,2.09,6.00000,1/9/2026
11_Inoc_inter_s_1_ANPP,11,Inoc,Inter,Severe,1,13.08,2.18,6.00000,1/9/2026
12_Inoc_inter_s_2_ANPP,12,Inoc,Inter,Severe,2,9.66,1.61,6.00000,1/9/2026
13_Inoc_inter_s_3_ANPP,13,Inoc,Inter,Severe,3,10.16,1.69,6.00000,1/9/2026
14_Inoc_inter_s_4_ANPP,14,Inoc,Inter,Severe,4,12.32,2.05,6.00000,1/9/2026
15_Inoc_inter_s_5_ANPP,15,Inoc,Inter,Severe,5,8.61,1.44,6.00000,1/9/2026
16_Inoc_mono_c_1_ANPP,16,Inoc,Mono,Control,1,19.06,1.59,12.00000,10/2/2025
17_Inoc_mono_c_2_ANPP,17,Inoc,Mono,Control,2,18.60,1.55,12.00000,10/2/2025
18_Inoc_mono_c_3_ANPP,18,Inoc,Mono,Control,3,19.91,1.66,12.00000,10/2/2025
19_Inoc_mono_c_4_ANPP,19,Inoc,Mono,Control,4,18.22,1.52,12.00000,10/2/2025
20_Inoc_mono_c_5_ANPP,20,Inoc,Mono,Control,5,18.70,1.56,12.00000,1/11/2026
21_Inoc_mono_m_1_ANPP,21,Inoc,Mono,Moderate,1,16.21,1.35,12.00000,10/2/2025
22_Inoc_mono_m_2_ANPP,22,Inoc,Mono,Moderate,2,18.04,1.50,12.00000,10/2/2025
23_Inoc_mono_m_3_ANPP,23,Inoc,Mono,Moderate,3,24.61,2.05,12.00000,10/2/2025
24_Inoc_mono_m_4_ANPP,24,Inoc,Mono,Moderate,4,18.04,1.50,12.00000,10/2/2025
25_Inoc_mono_m_5_ANPP,25,Inoc,Mono,Moderate,5,23.65,1.97,12.00000,10/2/2025
26_Inoc_mono_s_1_ANPP,26,Inoc,Mono,Severe,1,23.32,1.94,12.00000,10/2/2025
27_Inoc_mono_s_2_ANPP,27,Inoc,Mono,Severe,2,23.20,1.93,12.00000,10/2/2025
28_Inoc_mono_s_3_ANPP,28,Inoc,Mono,Severe,3,17.29,1.44,12.00000,1/9/2026
29_Inoc_mono_s_4_ANPP,29,Inoc,Mono,Severe,4,15.63,1.30,12.00000,10/2/2025
30_Inoc_mono_s_5_ANPP,30,Inoc,Mono,Severe,5,17.30,1.44,12.00000,10/2/2025
31_Strl_inter_c_1_ANPP,31,Strl,Inter,Control,1,14.44,2.41,6.00000,1/11/2026
32_Strl_inter_c_2_ANPP,32,Strl,Inter,Control,2,12.34,2.06,6.00000,1/11/2026
33_Strl_inter_c_3_ANPP,33,Strl,Inter,Control,3,16.06,2.68,6.00000,1/11/2026
34_Strl_inter_c_4_ANPP,34,Strl,Inter,Control,4,11.85,1.98,6.00000,1/11/2026
35_Strl_inter_c_5_ANPP,35,Strl,Inter,Control,5,20.87,3.48,6.00000,1/11/2026
36_Strl_inter_m_1_ANPP,36,Strl,Inter,Moderate,1,16.73,2.79,6.00000,1/11/2026
37_Strl_inter_m_2_ANPP,37,Strl,Inter,Moderate,2.00,12.52,2.09,6.00000,1/11/2026
38_Strl_inter_m_3_ANPP,38,Strl,Inter,Moderate,3.00,14.43,2.41,6.00000,1/11/2026
39_Strl_inter_m_4_ANPP,39,Strl,Inter,Moderate,4.00,11.14,1.86,6.00000,1/11/2026
40_Strl_inter_m_5_ANPP,40,Strl,Inter,Moderate,5.00,8.40,1.40,6.00000,1/11/2026
41_Strl_inter_s_1_ANPP,41,Strl,Inter,Severe,1.00,13.53,2.26,6.00000,1/11/2026
42_Strl_inter_s_2_ANPP,42,Strl,Inter,Severe,2.00,7.47,1.25,6.00000,1/11/2026
43_Strl_inter_s_3_ANPP,43,Strl,Inter,Severe,3.00,11.62,1.94,6.00000,1/11/2026
44_Strl_inter_s_4_ANPP,44,Strl,Inter,Severe,4.00,9.07,1.51,6.00000,1/11/2026
45_Strl_inter_s_5_ANPP,45,Strl,Inter,Severe,5.00,7.60,1.27,6.00000,1/11/2026
46_Strl_mono_c_1_ANPP,46,Strl,Mono,Control,1.00,17.73,1.48,12.00000,1/11/2026
47_Strl_mono_c_2_ANPP,47,Strl,Mono,Control,2.00,17.04,1.42,12.00000,1/11/2026
48_Strl_mono_c_3_ANPP,48,Strl,Mono,Control,3.00,16.77,1.40,12.00000,1/11/2026
49_Strl_mono_c_4_ANPP,49,Strl,Mono,Control,4.00,11.22,0.94,12.00000,1/11/2026
50_Strl_mono_c_5_ANPP,50,Strl,Mono,Control,5.00,12.56,1.05,12.00000,1/11/2026
51_Strl_mono_m_1_ANPP,51,Strl,Mono,Moderate,1.00,23.00,1.92,12.00000,1/11/2026
52_Strl_mono_m_2_ANPP,52,Strl,Mono,Moderate,2.00,15.30,1.28,12.00000,1/11/2026
53_Strl_mono_m_3_ANPP,53,Strl,Mono,Moderate,3.00,23.80,1.98,12.00000,1/11/2026
54_Strl_mono_m_4_ANPP,54,Strl,Mono,Moderate,4.00,15.95,1.33,12.00000,1/11/2026
55_Strl_mono_m_5_ANPP,55,Strl,Mono,Moderate,5.00,18.99,1.58,12.00000,1/11/2026
56_Strl_mono_s_1_ANPP,56,Strl,Mono,Severe,1.00,10.76,0.90,12.00000,1/11/2026
57_Strl_mono_s_2_ANPP,57,Strl,Mono,Severe,2.00,17.96,1.50,12.00000,1/11/2026
58_Strl_mono_s_3_ANPP,58,Strl,Mono,Severe,3.00,9.85,0.82,12.00000,1/11/2026
59_Strl_mono_s_4_ANPP,59,Strl,Mono,Severe,4.00,10.16,0.85,12.00000,1/11/2026
60_Strl_mono_s_5_ANPP,60,Strl,Mono,Severe,5.00,10.14,0.85,12.00000,1/11/2026