Name,Pot,Inoculation,Polyculture,Replicate,Water,Water_gal,Replicate,Biomass_g,Date_weighed
1_Inoc_inter_c_1_f,1,Inoc,Inter,1.00,Control,48.00,1,1.84,1/13/2026
2_Inoc_inter_c_2_f,2,Inoc,Inter,2.00,Control,48.00,2,2.89,1/13/2026
3_Inoc_inter_c_3_f,3,Inoc,Inter,3.00,Control,48.00,3,3.08,1/13/2026
4_Inoc_inter_c_4_f,4,Inoc,Inter,4.00,Control,48.00,4,1.78,1/13/2026
5_Inoc_inter_c_5_f,5,Inoc,Inter,5.00,Control,48.00,5,2.40,1/13/2026
6_Inoc_inter_m_1_f,6,Inoc,Inter,1.00,Moderate,32.00,1,1.58,1/13/2026
7_Inoc_inter_m_2_f,7,Inoc,Inter,2.00,Moderate,32.00,2,3.38,1/13/2026
8_Inoc_inter_m_3_f,8,Inoc,Inter,3.00,Moderate,32.00,3,1.30,1/13/2026
9_Inoc_inter_m_4_f,9,Inoc,Inter,4.00,Moderate,32.00,4,1.70,1/13/2026
10_Inoc_inter_m_5_f,10,Inoc,Inter,5.00,Moderate,32.00,5,2.08,1/13/2026
11_Inoc_inter_s_1_f,11,Inoc,Inter,1.00,Severe,16.00,1,4.27,1/13/2026
12_Inoc_inter_s_2_f,12,Inoc,Inter,2.00,Severe,16.00,2,3.37,1/13/2026
13_Inoc_inter_s_3_f,13,Inoc,Inter,3.00,Severe,16.00,3,3.86,1/13/2026
14_Inoc_inter_s_4_f,14,Inoc,Inter,4.00,Severe,16.00,4,3.05,1/13/2026
15_Inoc_inter_s_5_f,15,Inoc,Inter,5.00,Severe,16.00,5,3.89,1/13/2026
31_Strl_inter_c_1_f,31,Strl,Inter,1.00,Control,48.00,1,8.83,1/13/2026
32_Strl_inter_c_2_f,32,Strl,Inter,2.00,Control,48.00,2,7.46,1/13/2026
33_Strl_inter_c_3_f,33,Strl,Inter,3.00,Control,48.00,3,9.66,1/13/2026
34_Strl_inter_c_4_f,34,Strl,Inter,4.00,Control,48.00,4,9.61,1/13/2026
35_Strl_inter_c_5_f,35,Strl,Inter,5.00,Control,48.00,5,7.01,1/13/2026
36_Strl_inter_m_1_f,36,Strl,Inter,1.00,Moderate,32.00,1,8.26,1/13/2026
37_Strl_inter_m_2_f,37,Strl,Inter,2.00,Moderate,32.00,2,6.37,1/13/2026
38_Strl_inter_m_3_f,38,Strl,Inter,3.00,Moderate,32.00,3,6.98,1/13/2026
39_Strl_inter_m_4_f,39,Strl,Inter,4.00,Moderate,32.00,4,7.84,1/13/2026
40_Strl_inter_m_5_f,40,Strl,Inter,5.00,Moderate,32.00,5,7.39,1/13/2026
41_Strl_inter_s_1_f,41,Strl,Inter,1.00,Severe,16.00,1,4.48,1/13/2026
42_Strl_inter_s_2_f,42,Strl,Inter,2.00,Severe,16.00,2,4.95,1/13/2026
43_Strl_inter_s_3_f,43,Strl,Inter,3.00,Severe,16.00,3,1.50,1/13/2026
44_Strl_inter_s_4_f,44,Strl,Inter,4.00,Severe,16.00,4,4.45,1/13/2026
45_Strl_inter_s_5_f,45,Strl,Inter,5.00,Severe,16.00,5,5.25,1/13/2026